0 22531
1 4725
2 6687
3 11397
4 22014
5 30767
6 47611
7 31413
8 26271
9 12753
10 6668
11 3172
12 1964
13 919
14 497
15 242
16 153
17 86
18 55
19 26
20 24
21 10
22 7
23 3
24 3
25 1
26 0
27 0
28 0
29 1
