10 4.5376
7 4.31461
15 3.45435
14 4.18225
8 3.60627
9 6.18546
10 3.86438
9 4.35094
9 3.84108
7 4.43072
9 3.69361
8 3.86407
9 3.94416
9 4.23939
6 6.10792
11 4.3021
10 4.21885
9 4.66409
10 5.3656
10 3.90947
10 3.95562
8 5.04203
9 4.02379
9 4.53478
8 3.58872
9 4.37126
10 3.83702
14 4.06655
8 4.3742
11 3.56728
8 6.9001
8 4.20298
9 3.79066
9 4.04384
9 3.59673
8 4.65087
7 3.68898
8 6.0435
12 3.65554
10 3.96879
9 3.977
8 3.9821
8 3.69636
12 4.29217
8 4.55657
9 3.77399
6 6.70833
8 4.13099
9 4.98906
8 4.21392
8 3.42698
9 4.30508
10 6.80662
8 4.6323
8 3.97422
14 3.77421
8 4.20438
8 7.41364
8 3.94231
8 4.53548
9 4.89703
8 3.94233
11 5.71081
11 5.48598
9 4.24029
10 5.00233
6 5.58766
8 3.53181
10 3.88428
9 3.74117
8 3.88788
9 3.94355
12 3.87049
10 4.64002
10 3.51602
11 3.72334
6 4.24121
8 3.51994
11 4.86989
8 3.62907
8 3.59192
9 4.8122
7 4.85257
10 5.27955
9 3.27762
8 4.50452
9 3.95593
9 4.03964
13 4.44912
12 4.50603
8 4.26872
11 5.08118
10 3.21595
7 4.12881
9 6.30402
8 4.94907
11 3.98185
12 4.2955
13 4.14341
12 3.53469
7 4.02323
9 4.21509
8 4.9161
9 4.31397
9 4.00392
10 4.07764
8 4.69463
8 5.03164
6 6.08097
9 4.4711
9 4.06031
11 3.96222
11 4.87643
8 4.67097
9 4.89229
10 3.6653
8 4.40749
9 3.99167
8 4.37586
11 3.98953
8 4.69713
12 4.08689
8 6.48031
8 3.77877
6 4.28945
6 3.96247
8 4.60848
8 4.21648
9 3.47387
9 3.63107
8 4.65084
9 4.82879
7 5.09598
14 3.9882
8 4.25584
8 4.16028
8 3.49323
9 3.45469
12 3.86566
10 4.08613
9 3.56808
8 5.58258
8 3.94723
6 5.01454
11 4.27632
10 4.19767
10 5.60961
8 4.38239
8 3.91075
7 4.50153
8 5.76573
8 4.48123
6 6.31232
13 4.58087
8 3.9943
15 3.97703
11 4.14592
10 3.58402
8 5.01461
8 4.57807
9 4.65661
10 4.4223
9 4.21355
9 4.64002
9 4.69254
8 4.32465
10 3.7581
10 4.11486
12 4.42194
10 4.62682
7 4.32201
9 4.42896
8 4.4645
10 4.18833
12 3.67349
10 5.08492
11 4.09785
7 4.67757
9 3.32242
8 3.85068
