0.000065,0.000773,0.002034,0.002034,0.003394,0.003954,0.000804,0.000574,0.001864,0.001343,0.004910,0.006149,0.007505,0.004867,0.002859,0.003316,0.003146,0.003668,0.003363,0.004046,0.001047,0.000617,0.004876,0.001360,0.005506,0.002768,0.006814,0.008452,0.017556,0.018303,0.028832,0.035672,0.007848,0.004528,0.016813,0.010520,0.044272,0.054401,0.068632,0.039118,0.029123,0.028550,0.027429,0.034416,0.032326,0.039044,0.008521,0.003763,0.050460,0.011037,0.049404,0.023783,0.062831,0.058338,0.021658,0.012076,0.008856,0.008947,0.007726,0.008122,0.007474,0.009595,0.016608,0.000122,0.000035,0.000039,0.000183,0.000126,0.000135,0.000009,0.000035,0.000004,0.000030,0.000026,0.000017,0.000004,0.000017,0.000022,0.000009,0.000004,0.000004,0.000009,0.000004,0.000030,0.000369,0.000013,0.000004,0.000004,0.000026,0.000004,0.000013,0.000004,0.000004,0.000004,
0.001385,0.018006,0.054017,0.012465,0.016620,0.009695,0.008310,0.013850,0.004155,0.008310,0.009695,0.084488,0.011080,0.012465,0.011080,0.011080,0.009695,0.008310,0.008310,0.008310,0.008310,0.016620,0.006925,0.006925,0.009695,0.006925,0.011080,0.015235,0.080332,0.008310,0.001385,0.008310,0.008310,0.059557,0.011080,0.011080,0.006925,0.038781,0.009695,0.013850,0.005540,0.018006,0.004155,0.009695,0.008310,0.018006,0.008310,0.006925,0.013850,0.002770,0.004155,0.016620,0.009695,0.027701,0.031856,0.015235,0.012465,0.011080,0.013850,0.008310,0.013850,0.011080,0.012465,0.006925,0.001385,0.001385,0.002770,0.001385,0.001385,0.001385,0.001385,0.001385,0.002770,0.001385,0.001385,0.001385,0.004155,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,0.002770,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,0.001385,
0.000861,0.007752,0.034453,0.048234,0.005168,0.010336,0.005168,0.005168,0.020672,0.022394,0.008613,0.048234,0.018949,0.012920,0.005168,0.004307,0.012920,0.010336,0.004307,0.007752,0.006891,0.006891,0.009475,0.007752,0.012920,0.008613,0.008613,0.005168,0.008613,0.068906,0.012920,0.012059,0.007752,0.012059,0.075797,0.058570,0.004307,0.105082,0.008613,0.006029,0.004307,0.003445,0.020672,0.003445,0.005168,0.006891,0.008613,0.005168,0.006891,0.008613,0.005168,0.005168,0.007752,0.018088,0.018088,0.017227,0.007752,0.021533,0.012059,0.013781,0.007752,0.004307,0.018088,0.000861,0.001723,0.000861,0.000861,0.000861,0.000861,0.000861,0.001723,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.001723,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,0.000861,
0.000414,0.003725,0.012831,0.026490,0.110513,0.033113,0.024007,0.007864,0.008692,0.013245,0.016142,0.027318,0.045944,0.023179,0.009520,0.009520,0.007036,0.005381,0.011589,0.048427,0.006623,0.012831,0.015728,0.013245,0.014487,0.046772,0.024834,0.002483,0.002897,0.002070,0.016142,0.007864,0.003311,0.005381,0.009106,0.001656,0.008692,0.012831,0.009934,0.019454,0.003311,0.003311,0.007450,0.003311,0.003725,0.030629,0.004139,0.007036,0.004967,0.021109,0.014487,0.018626,0.020695,0.046358,0.023593,0.008692,0.010348,0.006623,0.007450,0.004139,0.009106,0.011175,0.011589,0.002070,0.000414,0.000414,0.000828,0.000414,0.002070,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.020281,0.000828,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,0.000414,
0.000864,0.003886,0.005181,0.050086,0.021589,0.030656,0.012090,0.015112,0.053972,0.047496,0.007772,0.053541,0.025043,0.020725,0.006477,0.015112,0.004318,0.002591,0.012090,0.012953,0.008636,0.003022,0.006477,0.006908,0.009499,0.011658,0.010363,0.002591,0.002591,0.065630,0.002159,0.003886,0.011658,0.024611,0.036701,0.084629,0.003454,0.097582,0.005181,0.003022,0.003022,0.003022,0.005181,0.003022,0.004318,0.003886,0.002591,0.003022,0.004750,0.004318,0.004750,0.003022,0.004318,0.029793,0.012953,0.019862,0.009067,0.008636,0.009931,0.009067,0.009499,0.007340,0.014249,0.002591,0.000432,0.000864,0.000864,0.000432,0.000864,0.000432,0.000864,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000864,0.000864,0.000864,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,0.000432,
0.000485,0.003882,0.008734,0.050461,0.020864,0.027656,0.028142,0.012615,0.040272,0.043668,0.003396,0.058224,0.018438,0.008734,0.005337,0.003396,0.019408,0.003882,0.007278,0.005822,0.002911,0.004367,0.007278,0.006308,0.004367,0.005822,0.010674,0.002426,0.014071,0.045609,0.051917,0.004367,0.015041,0.024745,0.054828,0.063561,0.003882,0.055798,0.007763,0.004852,0.001941,0.006308,0.070839,0.003882,0.007278,0.006793,0.002426,0.006308,0.005822,0.002426,0.004367,0.003396,0.005822,0.021349,0.013586,0.011160,0.007278,0.007278,0.004367,0.005822,0.007278,0.006793,0.006308,0.000970,0.000970,0.000970,0.001456,0.001941,0.000970,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000970,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,0.000485,
0.001055,0.006329,0.013713,0.016878,0.015823,0.008439,0.017932,0.020042,0.007384,0.028481,0.009494,0.044304,0.020042,0.017932,0.007384,0.013713,0.008439,0.011603,0.005274,0.024262,0.008439,0.010549,0.011603,0.009494,0.018987,0.017932,0.010549,0.009494,0.003165,0.016878,0.004219,0.012658,0.007384,0.013713,0.007384,0.046414,0.005274,0.047468,0.011603,0.007384,0.011603,0.009494,0.008439,0.003165,0.005274,0.008439,0.008439,0.003165,0.008439,0.009494,0.007384,0.009494,0.005274,0.091772,0.036920,0.016878,0.015823,0.024262,0.017932,0.022152,0.016878,0.017932,0.023207,0.001055,0.001055,0.001055,0.004219,0.001055,0.002110,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.002110,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.002110,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,0.001055,
0.001045,0.009404,0.011494,0.018809,0.052247,0.038662,0.010449,0.009404,0.024033,0.007315,0.035528,0.012539,0.053292,0.014629,0.015674,0.022989,0.008359,0.011494,0.014629,0.036573,0.011494,0.005225,0.025078,0.013584,0.024033,0.053292,0.028213,0.006270,0.003135,0.003135,0.012539,0.009404,0.011494,0.005225,0.004180,0.007315,0.016719,0.007315,0.013584,0.008359,0.012539,0.009404,0.003135,0.006270,0.007315,0.012539,0.006270,0.004180,0.006270,0.006270,0.026123,0.038662,0.011494,0.012539,0.016719,0.014629,0.014629,0.013584,0.010449,0.016719,0.014629,0.012539,0.009404,0.001045,0.001045,0.002090,0.002090,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.002090,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,0.001045,
0.000529,0.003173,0.008990,0.057113,0.023797,0.035960,0.001586,0.005817,0.010576,0.025383,0.014278,0.040190,0.039133,0.023797,0.009519,0.022210,0.005288,0.005288,0.022210,0.069276,0.013749,0.008461,0.039662,0.014278,0.009519,0.101534,0.029085,0.002644,0.009519,0.004759,0.012692,0.009519,0.004231,0.002115,0.003702,0.003173,0.004231,0.012692,0.012692,0.008461,0.003702,0.005817,0.008990,0.003173,0.008461,0.035960,0.004231,0.001586,0.015336,0.005288,0.006875,0.053411,0.020095,0.016922,0.011105,0.008461,0.007932,0.004231,0.006875,0.004231,0.003702,0.007932,0.006346,0.000529,0.000529,0.001058,0.001058,0.000529,0.001586,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,0.000529,
0.000500,0.006993,0.016484,0.005495,0.059940,0.028472,0.009990,0.023976,0.011489,0.050450,0.026474,0.009990,0.032967,0.016983,0.011988,0.015984,0.012488,0.005495,0.019980,0.056444,0.008991,0.008991,0.018981,0.024975,0.020979,0.087912,0.031968,0.000999,0.005495,0.003996,0.022977,0.007493,0.004496,0.003996,0.005495,0.006494,0.014985,0.008492,0.015485,0.030969,0.003996,0.005994,0.004995,0.006494,0.006494,0.024476,0.006494,0.004496,0.010490,0.003497,0.012488,0.018482,0.014985,0.036464,0.011988,0.005495,0.006494,0.006993,0.005495,0.002997,0.005994,0.006993,0.012488,0.001499,0.000500,0.000500,0.000999,0.000500,0.000500,0.000500,0.000500,0.000999,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000999,0.000500,0.000500,0.000500,0.000500,0.000500,0.000500,0.000999,0.000500,0.000500,
