-4.185866 -3.111543 -2.691718 -2.691718 -2.469313 -2.402922 -3.094792 -3.241389 -2.729506 -2.872005 -2.308885 -2.211207 -2.124671 -2.312746 -2.543738 -2.479439 -2.502225 -2.435621 -2.473223 -2.393014 -2.979946 -3.209675 -2.311971 -2.866419 -2.259187 -2.557824 -2.166618 -2.073044 -1.755582 -1.737475 -1.540123 -1.447674 -2.105246 -2.344096 -1.774365 -1.977969 -1.353875 -1.264394 -1.163472 -1.407625 -1.535759 -1.544398 -1.561797 -1.463239 -1.490449 -1.408446 -2.069486 -2.424446 -1.297057 -1.957130 -1.306242 -1.623738 -1.201826 -1.234050 -1.664386 -1.918075 -2.052760 -2.048307 -2.112032 -2.090354 -2.126435 -2.017965 -1.779673 -3.914802 -4.458861 -4.407710 -3.738712 -3.899562 -3.870599 -5.060884 -4.458861 -5.361864 -4.516851 -4.583796 -4.759879 -5.361864 -4.759879 -4.662974 -5.060884 -5.361864 -5.361864 -5.060884 -5.361864 -4.516851 -3.432544 -4.884809 -5.361864 -5.361864 -4.583796 -5.361864 -4.884809 -5.361864 -5.361864 -5.361864 
-2.858537 -1.744594 -1.267473 -1.904295 -1.779356 -2.013439 -2.080386 -1.858537 -2.381416 -2.080386 -2.013439 -1.073207 -1.955447 -1.904295 -1.955447 -1.955447 -2.013439 -2.080386 -2.080386 -2.080386 -2.080386 -1.779356 -2.159567 -2.159567 -2.013439 -2.159567 -1.955447 -1.817145 -1.095109 -2.080386 -2.858537 -2.080386 -2.080386 -1.225069 -1.955447 -1.955447 -2.159567 -1.411379 -2.013439 -1.858537 -2.256477 -1.744594 -2.381416 -2.013439 -2.080386 -1.744594 -2.080386 -2.159567 -1.858537 -2.557507 -2.381416 -1.779356 -2.013439 -1.557507 -1.496809 -1.817145 -1.904295 -1.955447 -1.858537 -2.080386 -1.858537 -1.955447 -1.904295 -2.159567 -2.858537 -2.858537 -2.557507 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.557507 -2.858537 -2.858537 -2.858537 -2.381416 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.557507 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 -2.858537 
-3.064832 -2.110590 -1.462772 -1.316644 -2.286681 -1.985651 -2.286681 -2.286681 -1.684621 -1.649859 -2.064832 -1.316644 -1.722409 -1.888741 -2.286681 -2.365862 -1.888741 -1.985651 -2.365862 -2.110590 -2.161742 -2.161742 -2.023439 -2.110590 -1.888741 -2.064832 -2.064832 -2.286681 -2.064832 -1.161742 -1.888741 -1.918704 -2.110590 -1.918704 -1.120350 -1.232323 -2.365862 -0.978472 -2.064832 -2.219734 -2.365862 -2.462772 -1.684621 -2.462772 -2.286681 -2.161742 -2.064832 -2.286681 -2.161742 -2.064832 -2.286681 -2.286681 -2.110590 -1.742613 -1.742613 -1.763802 -2.110590 -1.666892 -1.918704 -1.860712 -2.110590 -2.365862 -1.742613 -3.064832 -2.763802 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -2.763802 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -2.763802 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 -3.064832 
-3.383096 -2.428854 -1.891735 -1.576917 -0.956586 -1.480007 -1.619669 -2.104343 -2.060878 -1.877947 -1.792032 -1.563553 -1.337774 -1.634909 -2.021369 -2.021369 -2.152648 -2.269154 -1.935939 -1.314911 -2.178977 -1.891735 -1.803313 -1.877947 -1.839029 -1.330019 -1.604946 -2.604945 -2.537999 -2.684127 -1.792032 -2.104343 -2.480007 -2.269154 -2.040674 -2.781037 -2.060878 -1.891735 -2.002886 -1.710999 -2.480007 -2.480007 -2.127824 -2.480007 -2.428854 -1.513865 -2.383097 -2.152648 -2.303916 -1.675527 -1.839029 -1.729884 -1.684127 -1.333879 -1.627222 -2.060878 -1.985157 -2.178977 -2.127824 -2.383097 -2.040674 -1.951733 -1.935939 -2.684127 -3.383096 -3.383096 -3.082066 -3.383096 -2.684127 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -1.692901 -3.082066 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 -3.383096 
-3.063708 -2.410496 -2.285557 -1.300281 -1.665769 -1.513480 -1.917580 -1.820670 -1.267829 -1.323346 -2.109466 -1.271317 -1.601310 -1.683497 -2.188647 -1.820670 -2.364738 -2.586587 -1.917580 -1.887617 -2.063709 -2.519640 -2.188647 -2.160619 -2.022316 -1.933375 -1.984527 -2.586587 -2.586587 -1.182895 -2.665768 -2.410496 -1.933375 -1.608864 -1.435320 -1.072482 -2.461648 -1.010630 -2.285557 -2.519640 -2.519640 -2.519640 -2.285557 -2.519640 -2.364738 -2.410496 -2.586587 -2.519640 -2.323346 -2.364738 -2.323346 -2.519640 -2.364738 -1.525889 -1.887617 -1.701981 -2.042519 -2.063709 -2.003011 -2.042519 -2.022316 -2.134290 -1.846225 -2.586587 -3.364738 -3.063708 -3.063708 -3.364738 -3.063708 -3.364738 -3.063708 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.063708 -3.063708 -3.063708 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 -3.364738 
-3.314077 -2.410988 -2.058805 -1.297045 -1.680609 -1.558203 -1.550650 -1.899105 -1.395000 -1.359836 -2.468980 -1.234897 -1.734294 -2.058805 -2.272685 -2.468980 -1.712018 -2.410988 -2.137987 -2.234897 -2.535927 -2.359835 -2.137987 -2.200135 -2.359835 -2.234897 -1.971655 -2.615108 -1.851680 -1.340950 -1.284694 -2.359835 -1.822716 -1.606508 -1.261000 -1.196807 -2.410988 -1.253380 -2.109958 -2.314078 -2.712018 -2.200135 -1.149725 -2.410988 -2.137987 -2.167950 -2.615108 -2.200135 -2.234897 -2.615108 -2.359835 -2.468980 -2.234897 -1.670625 -1.866920 -1.952350 -2.137987 -2.137987 -2.359835 -2.234897 -2.137987 -2.167950 -2.200135 -3.013047 -3.013047 -3.013047 -2.836957 -2.712018 -3.013047 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.013047 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 -3.314077 
-2.976808 -2.198657 -1.862865 -1.772688 -1.800717 -2.073718 -1.746359 -1.698055 -2.131710 -1.545445 -2.022566 -1.353559 -1.698055 -1.746359 -2.131710 -1.862865 -2.073718 -1.935416 -2.277838 -1.615080 -2.073718 -1.976808 -1.935416 -2.022566 -1.721536 -1.746359 -1.976808 -2.022566 -2.499687 -1.772688 -2.374748 -1.897627 -2.131710 -1.862865 -2.131710 -1.333356 -2.277838 -1.323596 -1.935416 -2.131710 -1.935416 -2.022566 -2.073718 -2.499687 -2.277838 -2.073718 -2.073718 -2.499687 -2.073718 -2.022566 -2.131710 -2.022566 -2.277838 -1.037289 -1.432740 -1.772688 -1.800717 -1.615080 -1.746359 -1.654589 -1.772688 -1.746359 -1.634386 -2.976808 -2.976808 -2.976808 -2.374748 -2.976808 -2.675778 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.675778 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.675778 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 -2.976808 
-2.980911 -2.026670 -1.939519 -1.725639 -1.281942 -1.412710 -1.980912 -2.026670 -1.619184 -2.135814 -1.449433 -1.901731 -1.273342 -1.834784 -1.804821 -1.638489 -2.077822 -1.939519 -1.834784 -1.436844 -1.939519 -2.281942 -1.600701 -1.866969 -1.619184 -1.273342 -1.549548 -2.202761 -2.503791 -2.503791 -1.901731 -2.026670 -1.939519 -2.281942 -2.378852 -2.135814 -1.776792 -2.135814 -1.866969 -2.077822 -1.901731 -2.026670 -2.503791 -2.202761 -2.135814 -1.901731 -2.202761 -2.378852 -2.202761 -2.202761 -1.582972 -1.412710 -1.939519 -1.901731 -1.776792 -1.834784 -1.834784 -1.866969 -1.980912 -1.776792 -1.834784 -1.901731 -2.026670 -2.980911 -2.980911 -2.679882 -2.679882 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.679882 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 -2.980911 
-3.276691 -2.498540 -2.046242 -1.243268 -1.623479 -1.444183 -2.799570 -2.235299 -1.975662 -1.595450 -1.845328 -1.395878 -1.407460 -1.623479 -2.021419 -1.653442 -2.276691 -2.276691 -1.653442 -1.159420 -1.861718 -2.072572 -1.401630 -1.845328 -2.021419 -0.993390 -1.536329 -2.577721 -2.021419 -2.322449 -1.896480 -2.021419 -2.373601 -2.674631 -2.431593 -2.498540 -2.373601 -1.896480 -1.896480 -2.072572 -2.431593 -2.235299 -2.046242 -2.498540 -2.072572 -1.444183 -2.373601 -2.799570 -1.814294 -2.276691 -2.162748 -1.272370 -1.696908 -1.771541 -1.954472 -2.072572 -2.100600 -2.373601 -2.162748 -2.373601 -2.431593 -2.100600 -2.197510 -3.276691 -3.276691 -2.975661 -2.975661 -3.276691 -2.799570 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 -3.276691 
-3.301463 -2.155336 -1.782950 -2.260071 -1.222283 -1.545589 -2.000434 -1.620223 -1.939736 -1.297143 -1.577188 -2.000434 -1.481920 -1.769985 -1.921253 -1.796314 -1.903524 -2.260071 -1.699404 -1.248386 -2.046191 -2.046191 -1.721680 -1.602494 -1.678215 -1.055951 -1.495284 -3.000434 -2.260071 -2.398374 -1.638706 -2.125373 -2.347221 -2.398374 -2.260071 -2.187521 -1.824343 -2.071015 -1.810102 -1.509072 -2.398374 -2.222283 -2.301464 -2.187521 -2.187521 -1.611268 -2.187521 -2.347221 -1.979245 -2.456366 -1.903524 -1.733262 -1.824343 -1.438141 -1.921253 -2.260071 -2.187521 -2.155336 -2.260071 -2.523313 -2.222283 -2.155336 -1.903524 -2.824342 -3.301463 -3.301463 -3.000434 -3.301463 -3.301463 -3.301463 -3.301463 -3.000434 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.000434 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.301463 -3.000434 -3.301463 -3.301463 
