7 4.5376
6 4.31461
8 3.45435
6 4.18225
6 3.60627
9 6.18546
8 3.86438
9 4.35094
7 3.84108
3 4.43072
6 3.69361
6 3.86407
7 3.94416
2 4.23939
3 6.10792
5 4.3021
10 4.21885
7 4.66409
3 5.3656
1 3.90947
4 3.95562
6 5.04203
7 4.02379
6 4.53478
5 3.58872
7 4.37126
6 3.83702
4 4.06655
5 4.3742
3 3.56728
4 6.9001
1 4.20298
9 3.79066
3 4.04384
1 3.59673
4 4.65087
6 3.68898
6 6.0435
8 3.65554
8 3.96879
8 3.977
4 3.9821
6 3.69636
1 4.29217
2 4.55657
5 3.77399
2 6.70833
2 4.13099
3 4.98906
5 4.21392
5 3.42698
1 4.30508
9 6.80662
7 4.6323
5 3.97422
10 3.77421
6 4.20438
7 7.41364
8 3.94231
4 4.53548
7 4.89703
7 3.94233
8 5.71081
7 5.48598
6 4.24029
9 5.00233
5 5.58766
5 3.53181
6 3.88428
5 3.74117
4 3.88788
5 3.94355
7 3.87049
7 4.64002
6 3.51602
7 3.72334
5 4.24121
4 3.51994
8 4.86989
8 3.62907
5 3.59192
8 4.8122
7 4.85257
4 5.27955
6 3.27762
4 4.50452
1 3.95593
6 4.03964
0 4.44912
5 4.50603
6 4.26872
8 5.08118
7 3.21595
5 4.12881
9 6.30402
6 4.94907
7 3.98185
9 4.2955
9 4.14341
9 3.53469
1 4.02323
7 4.21509
1 4.9161
7 4.31397
9 4.00392
9 4.07764
5 4.69463
7 5.03164
3 6.08097
8 4.4711
9 4.06031
9 3.96222
6 4.87643
7 4.67097
8 4.89229
6 3.6653
6 4.40749
6 3.99167
7 4.37586
8 3.98953
3 4.69713
7 4.08689
5 6.48031
3 3.77877
6 4.28945
6 3.96247
7 4.60848
8 4.21648
6 3.47387
6 3.63107
5 4.65084
5 4.82879
5 5.09598
5 3.9882
6 4.25584
2 4.16028
4 3.49323
5 3.45469
12 3.86566
8 4.08613
9 3.56808
6 5.58258
7 3.94723
2 5.01454
9 4.27632
8 4.19767
8 5.60961
6 4.38239
4 3.91075
5 4.50153
0 5.76573
4 4.48123
4 6.31232
10 4.58087
7 3.9943
9 3.97703
10 4.14592
2 3.58402
7 5.01461
5 4.57807
1 4.65661
5 4.4223
1 4.21355
1 4.64002
7 4.69254
8 4.32465
1 3.7581
9 4.11486
3 4.42194
7 4.62682
7 4.32201
6 4.42896
7 4.4645
8 4.18833
